habitat,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,class
d,f,f,e,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,y,e
d,x,y,n,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,y,e
d,x,y,g,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,y,e
d,f,y,e,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,v,e
d,x,y,g,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,v,p
d,x,s,g,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,k,v,p
g,x,f,g,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,v,p
p,x,f,g,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,p
p,f,f,g,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,p
d,f,f,g,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,v,e
d,x,f,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,p
d,f,y,e,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,e
d,f,y,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,v,e
d,f,y,n,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,y,e
d,x,y,y,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,p
d,f,y,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,e
d,x,f,p,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,n,s,p
d,f,f,e,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,y,e
d,f,y,n,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,y,e
d,x,y,n,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,v,e
d,f,f,e,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,y,e
g,x,f,g,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,p
p,x,f,g,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,p
d,f,f,g,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,v,e
d,x,f,n,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,e
d,x,f,g,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,p
d,f,f,g,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,y,e
d,x,f,p,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,n,s,p
d,f,y,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,v,e
d,f,y,g,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,y,e
p,x,f,g,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,p
d,x,f,e,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,y,e
d,x,s,g,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,k,s,p
g,x,f,g,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,p
d,f,y,n,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,v,e
d,x,f,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,p
d,f,y,e,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,v,e
d,f,f,g,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,y,e
d,f,f,g,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,y,e
d,f,y,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,y,e
d,f,y,e,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,y,e
d,f,y,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,e
d,f,y,e,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,e
d,f,y,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,e
g,x,y,y,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,p
d,f,f,g,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,y,e
d,f,y,n,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,v,e
g,x,f,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,p
d,x,f,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,p
p,x,f,g,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,p
d,f,y,e,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,y,e
d,f,y,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,e
d,x,y,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,p
p,x,f,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,p
p,f,y,g,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,p
d,f,y,n,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,v,e
d,x,f,g,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,n,s,p
d,f,f,e,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,e
d,f,f,y,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,p
d,f,y,n,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,v,e
d,x,y,e,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,y,e
p,x,f,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,p
d,x,y,n,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,y,e
d,x,s,w,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,n,v,p
d,f,y,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,e
d,f,f,e,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,v,e
d,f,y,g,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,y,e
d,x,f,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,p
d,f,y,e,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,v,e
d,f,y,e,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,y,e
d,x,s,p,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,k,s,p
d,f,f,e,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,v,e
d,f,f,g,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,y,e
d,f,f,g,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,y,e
d,f,f,g,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,v,e
p,x,f,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,p
d,f,y,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,y,e
d,f,y,g,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,v,e
d,f,y,n,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,y,e
d,x,s,p,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,k,s,p
d,f,y,e,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,y,e
d,f,y,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,e
d,f,y,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,y,e
d,x,s,w,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,k,s,p
p,x,f,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,p
d,f,y,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,v,e
g,x,f,g,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,p
d,x,f,w,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,n,s,p
d,f,y,n,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,y,e
d,f,y,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,v,e
d,f,y,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,v,e
d,f,y,g,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,v,e
d,x,f,w,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,n,v,p
d,f,f,e,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,v,e
g,x,f,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,p
d,f,y,n,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,y,e
d,f,y,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,v,e
d,x,s,p,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,k,v,p
d,f,y,g,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,y,e
d,x,s,p,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,n,v,p
d,x,y,n,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,e
g,x,y,g,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,p
d,f,y,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,y,e
d,x,f,p,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,n,s,p
p,x,f,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,p
d,f,f,e,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,y,e
d,f,f,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,y,e
d,x,f,g,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,n,s,p
g,x,f,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,v,p
d,f,y,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,y,e
d,x,f,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,p
d,f,f,e,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,v,e
d,f,y,n,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,e
d,f,y,y,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,p
d,f,y,e,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,e
d,f,y,e,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,v,e
d,f,y,n,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,y,e
d,x,f,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,v,e
d,f,y,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,p
d,f,y,g,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,v,e
d,f,f,e,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,y,e
d,f,y,n,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,v,e
d,x,y,g,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,e
d,x,y,n,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,e
d,x,f,g,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,p
d,x,s,w,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,n,v,p
p,f,f,y,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,p
d,f,y,n,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,v,e
d,f,y,e,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,y,e
d,f,f,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,y,e
d,f,f,e,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,y,e
d,f,y,e,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,v,e
d,f,y,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,y,e
d,f,y,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,v,e
g,x,y,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,p
d,f,y,e,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,y,e
d,f,y,n,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,y,e
d,x,f,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,p
d,x,f,w,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,k,s,p
d,x,f,g,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,k,v,p
d,x,y,n,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,y,e
p,f,f,y,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,p
d,x,s,g,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,n,v,p
d,f,y,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,e
d,f,y,e,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,e
d,f,f,e,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,e
d,x,f,y,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,v,p
d,f,y,n,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,v,e
d,f,f,e,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,v,e
d,f,y,e,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,e
p,x,f,y,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,p
d,x,f,g,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,n,v,p
d,f,f,e,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,e
d,x,s,g,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,n,s,p
d,x,f,w,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,n,v,p
g,x,f,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,p
d,f,y,g,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,v,e
d,f,f,e,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,v,e
p,f,f,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,p
d,f,f,e,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,y,e
d,f,y,e,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,v,e
d,f,f,g,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,e
d,f,y,e,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,y,e
d,f,f,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,e
d,f,y,n,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,y,e
d,f,y,e,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,v,e
d,f,y,n,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,e
d,f,f,e,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,y,e
d,f,y,e,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,y,e
d,f,f,g,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,y,e
d,x,f,g,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,e
d,f,y,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,y,e
d,f,y,n,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,e
d,x,f,e,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,y,e
d,f,f,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,y,e
p,x,f,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,p
d,f,y,e,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,y,e
d,x,y,g,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,y,e
d,f,y,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,v,e
d,f,y,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,y,e
d,f,y,g,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,y,e
d,x,f,g,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,p
d,f,f,e,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,v,e
d,f,f,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,p
d,f,y,g,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,y,e
d,f,y,g,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,v,e
d,f,f,g,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,y,e
p,f,f,y,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,p
d,x,y,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,v,e
d,f,y,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,y,e
d,f,f,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,p
d,f,y,n,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,e
d,x,f,g,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,k,s,p
d,f,y,e,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,y,e
d,x,s,w,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,k,s,p
d,f,y,n,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,v,e
d,x,s,w,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,n,v,p
d,f,y,e,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,y,e
d,f,f,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,v,e
d,f,f,e,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,y,e
d,f,y,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,y,e
d,x,s,g,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,k,s,p
d,f,y,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,e
d,f,y,e,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,v,e
d,x,f,p,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,k,v,p
d,f,f,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,y,e
d,x,s,p,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,n,v,p
d,f,f,e,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,y,e
g,f,f,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,p
d,f,y,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,y,e
g,x,f,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,p
d,f,y,n,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,e
d,f,y,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,v,e
d,f,y,n,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,v,e
d,x,s,p,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,k,s,p
p,x,y,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,p
d,f,f,e,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,e
d,f,f,g,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,v,e
d,f,y,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,v,e
d,f,y,e,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,y,e
d,f,y,e,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,v,e
d,x,f,g,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,e
d,x,f,g,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,p
d,x,y,n,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,y,e
d,f,y,e,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,y,e
d,f,f,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,e
d,x,f,w,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,k,v,p
d,f,y,e,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,y,e
d,f,y,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,y,e
g,x,f,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,p
d,f,y,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,y,e
d,x,s,w,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,k,v,p
d,f,f,e,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,e
d,x,s,w,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,k,s,p
d,x,f,g,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,p
d,x,f,g,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,p
d,f,y,g,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,v,e
d,f,y,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,e
d,f,y,e,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,e
d,f,y,e,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,y,e
p,x,f,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,p
d,f,f,e,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,y,e
d,f,f,e,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,y,e
g,x,y,g,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,p
d,f,f,e,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,e
d,x,f,g,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,n,s,p
d,f,y,g,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,y,e
d,f,y,e,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,y,e
d,f,y,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,y,e
d,f,y,g,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,y,e
d,x,f,e,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,y,e
d,f,y,g,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,y,e
d,x,s,p,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,k,s,p
d,f,y,n,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,v,e
g,x,f,g,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,p
d,f,y,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,v,e
d,f,y,g,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,e
d,f,f,e,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,e
d,x,s,w,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,n,v,p
d,x,f,w,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,n,v,p
d,x,y,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,v,e
d,f,f,e,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,v,e
d,f,y,e,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,v,e
d,x,y,g,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,y,e
d,x,f,g,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,v,p
d,x,f,w,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,k,v,p
d,f,y,n,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,y,e
d,f,f,e,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,v,e
d,x,f,w,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,k,v,p
d,x,s,g,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,k,s,p
d,x,y,e,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,v,e
d,x,f,g,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,p
d,x,f,g,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,n,v,p
d,x,f,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,p
d,x,s,g,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,n,v,p
d,x,f,g,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,v,e
d,x,f,p,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,k,s,p
d,f,f,e,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,v,e
d,x,s,p,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,k,v,p
d,x,f,g,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,k,s,p
d,f,y,e,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,e
d,x,f,g,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,k,s,p
d,x,s,g,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,k,v,p
d,f,y,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,y,e
d,f,y,n,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,y,e
d,x,f,g,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,n,s,p
d,f,f,e,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,e
d,x,s,w,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,n,s,p
d,f,y,n,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,v,e
d,x,f,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,p
g,f,y,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,p
d,f,y,g,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,v,e
g,x,f,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,p
d,f,y,g,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,v,e
g,x,f,g,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,p
p,f,f,g,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,p
d,f,f,e,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,v,e
d,f,f,g,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,v,e
d,x,f,w,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,n,v,p
d,f,f,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,y,e
p,x,f,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,p
